Record_ID,Source_Channel,User_Intent,Primary_Friction_Category,Confidence_Score,Detected_Off_Platform_Action,Verbatim_Quote
cls_900f75ab7e88,App Store,High-Intent,Fit Body Ambiguity,0.79,Third-Party Brand Size Chart Lookup,"Also, the T-shirt I received was much larger than a normal L size."
cls_c84e4e6d9749,App Store,Passive-Moodboard,Catalog Clutter,0.8,Competitor App Search (Amazon/Zara),I have been using this app from last 5 years without any issue but from this month they have are scamming they sent me different product also didn't refunded my money I have now trust issue on myntra pls be aware
cls_ec4970784ad6,App Store,Passive-Moodboard,Catalog Clutter,0.8,Competitor App Search (Amazon/Zara),"⭐ After the recent Myntra app update, I’m facing a serious issue with MynCash and Myntra Credit."
cls_4cb4824ad380,App Store,Passive-Moodboard,Catalog Clutter,0.76,Competitor App Search (Amazon/Zara),My goto app for all shopping for many years now.
cls_70f22a90ee51,App Store,Passive-Moodboard,Styling Isolation,0.74,Google / Pinterest Outfit Inspo Search,its amazing always 🥰
cls_b8d9b1d3e704,App Store,Passive-Moodboard,Styling Isolation,0.74,Google / Pinterest Outfit Inspo Search,fix exchange problem
cls_6dff4409dbdc,App Store,Passive-Moodboard,Styling Isolation,0.79,Google / Pinterest Outfit Inspo Search,my account why deactivated iam not login by last two days please clarify problem myntra team
cls_996e43e9e8e3,App Store,Passive-Moodboard,Styling Isolation,0.77,Google / Pinterest Outfit Inspo Search,Neet to improve many things special customers support system
cls_cb80a73e272b,App Store,High-Intent,Styling Isolation,0.8,Google / Pinterest Outfit Inspo Search,The no way to confirm when the out for delivery order will reach as agent wont pick up and tgere is no help line number to call and get help myntra wants customers to email most other online big shopping sites have a helip lihe to call and speak to in myntra its so difficulty to get help if asked help PMO will respond but myntra is like deaf ears hope less
cls_8a807baf66b2,App Store,Passive-Moodboard,Catalog Clutter,0.76,Competitor App Search (Amazon/Zara),Disappointing Experience with Myntra After 10 Years.
cls_0d2532355284,App Store,Passive-Moodboard,Styling Isolation,0.79,Google / Pinterest Outfit Inspo Search,The services of Myntra were good enough in the past but now it has been downgraded to earth.
cls_3b3d993a4059,App Store,High-Intent,Catalog Clutter,0.8,Competitor App Search (Amazon/Zara),"I had the worst experience, I ordered a product, the date was 17th August, it got cancelled today on 18th August, other shopping apps are better than this 💯 time waste app💯 I'm not change my review first of all your shopping app is not good"
cls_15d46abcd434,App Store,Passive-Moodboard,Styling Isolation,0.74,Google / Pinterest Outfit Inspo Search,useless delivery system
cls_d35c0b1a67b2,App Store,High-Intent,Catalog Clutter,0.76,Competitor App Search (Amazon/Zara),This app is good but Myntra now service is very bogus.
cls_dd6401a3691a,App Store,High-Intent,Occasion Disconnect,0.82,Postponed / Calendar Event Check,"Poor customer support from Myntra.I had ordered for a t shirt on 08.08.2026 and done the payment.Delivery date was showing 16 -18 Aug.The seller cancelled the order by themselves on 16th August citing some technical issues.Cancelletion after waiting for 8 days is unbearable.They were showing the status as packed from the second day itself.Eventhough I got the refund,how can we order things from myntra for a pre-planned function."
cls_0e57978bbe3f,App Store,Passive-Moodboard,Styling Isolation,0.74,Google / Pinterest Outfit Inspo Search,ye bhi nhi de rha h kapda acha
cls_a235fbe24f8b,App Store,Passive-Moodboard,Styling Isolation,0.74,Google / Pinterest Outfit Inspo Search,nice product have a give it
cls_24e77bd8544f,App Store,Passive-Moodboard,Fit Body Ambiguity,0.82,Third-Party Brand Size Chart Lookup,I had to replace the product due to it being small in size but it failed the quality check because there were the tags but the logo was not given there which is totally their fault but who suffers?
cls_aa02032b2218,App Store,Passive-Moodboard,Catalog Clutter,0.78,Competitor App Search (Amazon/Zara),good app but sometimes delivery let and delivery person behavior is not good
cls_df2c7ecbb83d,App Store,Passive-Moodboard,Styling Isolation,0.73,Google / Pinterest Outfit Inspo Search,Very bad experience
cls_ab62efc06029,App Store,Passive-Moodboard,Styling Isolation,0.77,Google / Pinterest Outfit Inspo Search,"A lot of improvement is expected, specifically in delivery time."
cls_5135baad8312,App Store,High-Intent,Styling Isolation,0.74,Google / Pinterest Outfit Inspo Search,first time Order from myntra 🫵
cls_6a5e4c3b70d5,App Store,High-Intent,Catalog Clutter,0.77,Competitor App Search (Amazon/Zara),even after applying gift cart they are charging 49rs more ?
cls_a02295a0b741,App Store,Passive-Moodboard,Styling Isolation,0.8,Google / Pinterest Outfit Inspo Search,at first they were accepting all my UGC posts later I have uploaded many post and video it been 1 month but still accepting even I have msged through email but no response
cls_99a33e1875fd,App Store,High-Intent,Catalog Clutter,0.8,Competitor App Search (Amazon/Zara),Delivery and costumer support is very baddd worst app I have ever seen for the same I really disappoint 😞 this app Next time I will order from other platform because of this.
cls_7967ea9616a0,App Store,Passive-Moodboard,Styling Isolation,0.73,Google / Pinterest Outfit Inspo Search,very bad packaging
cls_a3ea79c093e2,App Store,High-Intent,Styling Isolation,0.75,Google / Pinterest Outfit Inspo Search,very late delivery on every order 😞
cls_d771be69b070,App Store,High-Intent,Fit Body Ambiguity,0.8,Third-Party Brand Size Chart Lookup,"I orders three kurti sets and 2 of them were defective, this was my first time online shopping bht I got disappointed a lot from myntra, And the team was holes in dresses in between only."
cls_3d3e608e96fe,App Store,Passive-Moodboard,Catalog Clutter,0.79,Competitor App Search (Amazon/Zara),The overall experience was great until it started putting up new and waste rules.
cls_d35203aa1841,App Store,Passive-Moodboard,Catalog Clutter,0.73,Competitor App Search (Amazon/Zara),not open this app
cls_d2a5c682de76,App Store,Passive-Moodboard,Styling Isolation,0.74,Google / Pinterest Outfit Inspo Search,delivery time is too long
cls_ad9c3f43b89b,App Store,Passive-Moodboard,Styling Isolation,0.74,Google / Pinterest Outfit Inspo Search,Excellent Delivery on time
cls_043131b0efda,App Store,Passive-Moodboard,Styling Isolation,0.77,Google / Pinterest Outfit Inspo Search,return policy is very poor and customer service is not good
cls_cfbe3a4aad19,App Store,Passive-Moodboard,Styling Isolation,0.76,Google / Pinterest Outfit Inspo Search,charging more money in the name of platform fee
cls_c75a67c019aa,App Store,Passive-Moodboard,Catalog Clutter,0.76,Competitor App Search (Amazon/Zara),i hate this app it's really wants more money.
cls_e4f304524efd,App Store,Passive-Moodboard,Styling Isolation,0.77,Google / Pinterest Outfit Inspo Search,trying to login with new mobile but failed continuously.
cls_e13a45263bd5,App Store,High-Intent,Styling Isolation,0.8,Google / Pinterest Outfit Inspo Search,"I ordered 2 items and initiated returns,but mistakenly one product was replaced with the other.I don’t understand how the QC was done and they refunded me for one item."
cls_ee2058ee234c,App Store,Passive-Moodboard,Styling Isolation,0.76,Google / Pinterest Outfit Inspo Search,it's return and exchange problem is too irritating
cls_cbf229f26c55,App Store,Passive-Moodboard,Catalog Clutter,0.75,Competitor App Search (Amazon/Zara),Terrible experience with Myntra.
cls_7fd339b938e2,App Store,High-Intent,Styling Isolation,0.79,Google / Pinterest Outfit Inspo Search,When the order is paid for myntra team can do an IVR call and say that it is COD and confuse.
cls_3739a48bebf0,App Store,Passive-Moodboard,Styling Isolation,0.75,Google / Pinterest Outfit Inspo Search,Myntra is not delivered product in my area
cls_41e71a77004b,App Store,Passive-Moodboard,Styling Isolation,0.75,Google / Pinterest Outfit Inspo Search,nowadays Myntra is becoming a fraud company
cls_63dbd09605a1,App Store,Passive-Moodboard,Styling Isolation,0.75,Google / Pinterest Outfit Inspo Search,delivery is always getting delayed
cls_4aa61de547ab,App Store,High-Intent,Catalog Clutter,0.75,Competitor App Search (Amazon/Zara),Worst app and terrible delivery service.
cls_bc43b1a42b6f,App Store,Passive-Moodboard,Styling Isolation,0.78,Google / Pinterest Outfit Inspo Search,please look into this issue..
cls_e1e7f3acf389,App Store,High-Intent,Styling Isolation,0.74,Google / Pinterest Outfit Inspo Search,extra charges per order
cls_9fd573012858,App Store,High-Intent,Styling Isolation,0.75,Google / Pinterest Outfit Inspo Search,Always order shipped but never delivered
cls_fefd73d7847e,App Store,High-Intent,Styling Isolation,0.82,Google / Pinterest Outfit Inspo Search,I want to see actual clothing on a model not some fake illustration of what the clothes are supposed to look like.
cls_030673169a65,App Store,Passive-Moodboard,Styling Isolation,0.74,Google / Pinterest Outfit Inspo Search,good aap for shopping
cls_1a40bfde023c,App Store,High-Intent,Catalog Clutter,0.76,Competitor App Search (Amazon/Zara),This app has no safety for customers' orders.
cls_4cff275c1fa7,App Store,High-Intent,Fit Body Ambiguity,0.78,Third-Party Brand Size Chart Lookup,For two consecutive orders they delivered wrong size.
cls_9c4ccc9a9014,App Store,High-Intent,Styling Isolation,0.74,Google / Pinterest Outfit Inspo Search,produced order kiya hai only
cls_d0b4fc5c8d94,App Store,Passive-Moodboard,Catalog Clutter,0.76,Competitor App Search (Amazon/Zara),This app is good but sometimes it delivered wrong item
